type_guess,title,company,location,category,job_type,application_link,notice_date,description
1_LIKELY_NEW_JOB,"Notice of Senior Secretariat Assistant/ Upper Division Clerk Grade Limited Departmental Competitive Examination, 2025",Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/departmental_05062026.pdf,05 June 2026,"Notice of Senior Secretariat Assistant/ Upper Division Clerk Grade Limited Departmental Competitive Examination, 2025 has been announced by the Staff Selection Commission (SSC). This official notice was published on 05 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
1_LIKELY_NEW_JOB,"Notice of Junior Secretariat Assistant/ Lower Division Clerk Grade Limited Departmental Competitive Examination, 2025",Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/departmental_notice_05062026.pdf,05 June 2026,"Notice of Junior Secretariat Assistant/ Lower Division Clerk Grade Limited Departmental Competitive Examination, 2025 has been announced by the Staff Selection Commission (SSC). This official notice was published on 05 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
1_LIKELY_NEW_JOB,"Tentative Vacancies for Stenographer Grade 'C' and 'D' Examination, 2026 (As on 04.06.2026)",Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/tentative_vacancy_04062026.pdf,04 June 2026,"Tentative Vacancies for Stenographer Grade 'C' and 'D' Examination, 2026 (As on 04.06.2026) has been announced by the Staff Selection Commission (SSC). This official notice was published on 04 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
2_REVIEW,Empanelment of Subject Matter Experts,Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/Notice_final_09062026.pdf,09 June 2026,"Empanelment of Subject Matter Experts has been announced by the Staff Selection Commission (SSC). This official notice was published on 09 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
3_answer_key_result_admin,"Head Constable (AWO/TPO) in Delhi Police Examination, 2025: Uploading of Final Answer Keys along with Question Papers cum Response Sheets of CBE along with the Marks",Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/writeup_16062026.pdf,16 June 2026,"Head Constable (AWO/TPO) in Delhi Police Examination, 2025: Uploading of Final Answer Keys along with Question Papers cum Response Sheets of CBE along with the Marks has been announced by the Staff Selection Commission (SSC). This official notice was published on 16 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
3_answer_key_result_admin,"Constable (GD) in Central Armed Police Forces (CAPFs) and SSF, and Rifleman (GD) in Assam Rifles Examination, 2026: Uploading of Tentative Answer Keys along with Question Paper(s) ",Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/tentative_answerkey_15062026.pdf,15 June 2026,"Constable (GD) in Central Armed Police Forces (CAPFs) and SSF, and Rifleman (GD) in Assam Rifles Examination, 2026: Uploading of Tentative Answer Keys along with Question Paper(s) cum Response Sheet(s) has been announced by the Staff Selection Commission (SSC). This official notice was published on 15 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
3_answer_key_result_admin,"IMPORTANT NOTICE: Submission of option-cum-preference for Junior Engineer (Civil, Mechanical and Electrical) Examination, 2025.",Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/Notice_JE_10062026.pdf,10 June 2026,"IMPORTANT NOTICE: Submission of option-cum-preference for Junior Engineer (Civil, Mechanical and Electrical) Examination, 2025. has been announced by the Staff Selection Commission (SSC). This official notice was published on 10 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
3_answer_key_result_admin,"Head Constable (Ministerial) in Delhi Police Examination, 2025 – Declaration of result of Computer Based Examination for shortlisting candidates to appear in Physical Endurance and",Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/writeup_05062026.pdf,05 June 2026,"Head Constable (Ministerial) in Delhi Police Examination, 2025 – Declaration of result of Computer Based Examination for shortlisting candidates to appear in Physical Endurance and Measurement Test (PE and MT)/ Document Verification (DV)/ Trade Test (Skill Test). has been announced by the Staff Selection Commission (SSC). This official notice was published on 05 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
3_answer_key_result_admin,Important Notice - Schedule of Examination,Staff Selection Commission,All India,SSC Jobs,Permanent,"https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/Date Notice of Steno C LDCE, 2025.pdf",05 June 2026,"Important Notice - Schedule of Examination has been announced by the Staff Selection Commission (SSC). This official notice was published on 05 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
3_answer_key_result_admin,"Combined Hindi Translators Examination, 2025: Declaration of result of Paper-II for shortlisting candidates for post of Sub Inspector (Hindi Translator) in CRPF to appear for PET/P",Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/writeup_04062026.pdf,04 June 2026,"Combined Hindi Translators Examination, 2025: Declaration of result of Paper-II for shortlisting candidates for post of Sub Inspector (Hindi Translator) in CRPF to appear for PET/PST examination has been announced by the Staff Selection Commission (SSC). This official notice was published on 04 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
